,website,spend,technology,domain,link,description
0,hltv.org,"$250+ / month",Opinary,Analytics and Tracking,https://opinary.com,Helps publishers & brands engage try to convert their audiences.
1,hltv.org,"$250+ / month",Cloudflare Insights,Analytics and Tracking,https://www.cloudflare.com/en-au/insights/,Visitor analytics and threat monitoring.
2,hltv.org,"$250+ / month",Google Analytics,Analytics and Tracking,http://google.com/analytics,Google Analytics offers a host of compelling features and benefits for everyone from senior executives and advertising and marketing professionals to site owners and content developers.
3,hltv.org,"$250+ / month",MediaMind,Analytics and Tracking,http://mediamind.com,Campaign management analytics from MediaMind now known as Sizmek.
4,hltv.org,"$250+ / month",Facebook Domain Insights,Analytics and Tracking,http://www.facebook.com/insights/,This website contains tracking information that allows admins to see Facebook Insights out of Facebook to this domain.
5,hltv.org,"$250+ / month",comScore,Analytics and Tracking,http://www.comscore.com,Market research company that studies internet trends and behavior.
6,hltv.org,"$250+ / month",Yandex Metrika,Analytics and Tracking,http://metrika.yandex.ru/,"A free Russian tool for increasing the conversion of the site. Watch for key performance site, analyze visitor behavior, evaluate the impact of advertising campaigns."
7,hltv.org,"$250+ / month",VisualDNA,Analytics and Tracking,http://www.visualdna.com,Visual quiz to find out psychological analysis of user.
8,hltv.org,"$250+ / month",Font Awesome,Widgets,http://fontawesome.io,Iconic font and CSS toolkit.
9,hltv.org,"$250+ / month",reCAPTCHA,Widgets,https://www.google.com/recaptcha/intro/index.html,Anti-bot CAPTCHA widget from Google.
10,hltv.org,"$250+ / month",Google Font API,Widgets,https://fonts.google.com,The Google Font API helps you add web fonts to any web page.
11,hltv.org,"$250+ / month",COVID-19,Widgets,https://www.who.int/emergencies/diseases/novel-coronavirus-2019,This website mentions COVID-19 / Novel Coronavirus.
12,hltv.org,"$250+ / month",Cookiebot,Widgets,http://cookiebot.com,Cookie consent widget.
13,hltv.org,"$250+ / month",Lijit Widget,Widgets,http://lijit.com,Contains widgets by lijit providing revolutionary search tools and stats for your blog.
